position,book_draft,director,duration
492,Vardis Fisher,Sydney Pollack,108
493,,Sean Ellis,114
494,,Mark Rydell,109
495,,Jošiaki Kawadžiri,91
496,,Mamoru Hosoda,117
497,,Robert Youngson,91
498,,Frank Capra,129
499,,Slobodan Šijan,83
500,Betty Smith,Fred Zinnemann,103
501,Helen Keller,Arthur Penn,106
502,Walter Wager,Renny Harlin,124
503,Johnny Cash,James Mangold,131
504,,Marc Forster,98
505,,Alejandro González Iñárritu,154
506,,Jim Jarmusch,121
507,,Emir Kusturica,123
508,Stephen King,Rob Reiner,107
509,,Juraj Jakubisko,110
510,,DK Welchman,94
511,Harper Lee,Robert Mulligan,124
512,,Federico Fellini,108
513,Georges Arnaud,Henri-Georges Clouzot,142
514,Masamune Širó,Mamoru Ošii,85
515,Kentaró Miura,Tošijuki Kubooka,95
516,,Radúz Činčera,63
517,Władysław Reymont,DK Welchman,114
518,Lev Nikolajevič Tolstoj,Sergej Bondarčuk,84
519,Lev Nikolajevič Tolstoj,Sergej Bondarčuk,427
520,,Luc Dionne,115
521,Jordan Belfort,Martin Scorsese,180
522,,Mel Gibson,139
523,Charles Frazier,Anthony Minghella,155
524,,Sergio Leone,99
525,Masamune Širó,Mamoru Ošii,82
526,Jaroslav Havlíček,Juraj Herz,101
527,Peter Van Greenaway,Jack Gold,105
528,,Anthony Maras,125
529,Tim Rice,Norman Jewison,108
530,Mary Norton,Hiromasa Jonebajaši,94
531,,Tom McGowan,92
532,,Gene Saks,103
533,,Rodrigo García,125
534,Józef Hen,Peter Solan,102
535,Selma Lagerlöf,Victor Sjöström,107
536,Su Tong,Yimou Zhang,125
537,,Andrzej Wajda,153
538,Ferenc Sánta,Zoltán Fábri,111
539,,Joel Coen,117
540,,Alejandro Amenábar,100
541,Alexandre Dumas mladší,Baz Luhrmann,127
542,,Bob Gale,116
543,John O'Brien,Mike Figgis,111
544,Arkadij Strugackij,Andrej Tarkovskij,162
545,,Miloš Forman,86
546,,Blake Edwards,103
547,,Pedro Almodóvar,101
548,Vladimír Körner,František Vláčil,99
549,Lewis Carroll,Jan Švankmajer,86
550,,Andrej Zvjagincev,110
551,,François Truffaut,115
552,,Billy Bob Thornton,135
553,Tadeusz Dołęga-Mostowicz,Jerzy Hoffman,128
554,,Akira Kurosawa,143
555,Auguste Le Breton,Jules Dassin,120
556,José Giovanni,Jacques Becker,132
557,,Majid Majidi,90
558,,Ernst Lubitsch,99
559,,Bořivoj Zeman,89
560,,Paul Verhoeven,127
561,Warren Adler,Danny DeVito,112
562,,Richard Donner,111
563,,Anders Thomas Jensen,116
